Date,,
Overall Accounts,,
Model,Target,Sales
A.M. Maus and Son,"$1,070.00",3235.8
Acura of Baton Rouge_AC,"$1,000.00",7900.8
Alfa Romeo Of Glendale,"$3,111.64",7896.3
All American Ford of Hackensack,"$2,610.00",21891.9
All American Ford of Kingston,$870.00,9586.3
All American Ford of Old Bridge,"$3,480.00",20209.8
All American Ford of Paramus,"$1,740.00",18826.4
All American Ford of Point Pleasant,"$2,175.00",11585.2
All American Mazda,"$2,550.00",10318.4
All American Subaru,"$2,125.00",8294.3
Anderson's Rock River Ford,$562.50,3914.3
Audi Columbus,$650.00,8252.4
BMW of El Cajon,$420.00,20073.2
Bedford Nissan,$750.00,7794.9
Bill Alexander Ford Lincoln,$375.00,6390.8
Bournival Jeep,$385.00,9001.7
Brandywine CJDR,"$1,023.58",13354.3
Brian Harris Chevrolet,"$1,125.00",0.0
Buckeye Superstore,"$1,000.00",7925.2
Byers Airport Subaru,"$2,000.00",16057.7
Byers Volkswagen,"$1,840.00",7862.0
Castlerock Jackson,"$1,000.00",6861.9
Crown CDJR,"$4,019.89",48096.4
Crystal Lake CJDR,"$1,500.00",2414.9
Dann's Discount Auto Sales,$375.00,7756.9
De La Fuente Cadillac,"$1,500.00",7603.6
Dodge Chrysler Jeep of Winter Haven,"$1,000.00",11987.1
Elkins Chrysler Dodge Jeep RAM,$770.00,6882.3
Elkins Fordland,$750.00,5070.9
FIAT of Glendale,$750.00,10032.0
FIAT of Winter Haven,$477.50,2934.6
Fairlane Ford,"$1,125.00",0.0
Fields Auto Spanish,"$1,000.00",2653.0
Folsom Lake Honda,"$2,400.00",30104.9
Fullerton CDJR,"$1,245.00",22563.3
Keyes Hyundai,$830.00,8342.5
Fullerton FIAT,"$3,000.00",6103.5
Gillman CDJR,"$1,155.00",49738.0
Gillman Honda San Antonio,$820.00,19516.3
Glenbrook Dodge Chrysler Jeep,"$1,830.00",10893.3
Hall Acura Newport News_AC,$600.00,1607.0
Hall Acura Virginia Beach_AC,$600.00,1666.9
Hall Automotive,"$1,200.00",3248.3
Hall CDJR Chesapeake,"$1,785.00",12272.4
Hall CDJR Virginia Beach,"$1,200.00",6970.2
Heritage Alfa Romeo Owings Mills,$400.00,1156.0
Heritage CDJR Owings Mills,"$2,000.00",5351.1
Heritage CDJR Parkville,$700.00,8743.0
Heritage Dealers,$800.00,2066.3
Heritage Mazda Bel Air,$800.00,5574.0
Heritage Mazda Owings Mills,"$1,200.00",3160.1
Heritage Subaru Catonsville,"$3,320.00",9851.1
Heritage Toyota Owings Mills,$800.00,8399.6
Hixson Ford Monroe,$720.00,9394.4
Hixson Lincoln Alexandria,$600.00,1475.6
Hixson Lincoln Leesville,$400.00,357.6
